"","date","btc_price"
"673",2016-02-01,373.056
"674",2016-02-02,374.447998
"675",2016-02-03,369.949005
"676",2016-02-04,389.593994
"677",2016-02-05,386.549011
"678",2016-02-06,376.522003
"679",2016-02-07,376.619995
"680",2016-02-08,373.446991
"681",2016-02-09,376.028992
"682",2016-02-10,381.648987
"683",2016-02-11,379.653992
"684",2016-02-12,384.263
"685",2016-02-13,391.859985
"686",2016-02-14,407.230011
"687",2016-02-15,400.184998
"688",2016-02-16,407.488007
"689",2016-02-17,416.321991
"690",2016-02-18,422.372986
"691",2016-02-19,420.785004
"692",2016-02-20,437.164001
"693",2016-02-21,438.798004
"694",2016-02-22,437.747986
"695",2016-02-23,420.735992
"696",2016-02-24,424.954987
"697",2016-02-25,424.544006
"698",2016-02-26,432.152008
"699",2016-02-27,432.519012
"700",2016-02-28,433.503998
"701",2016-02-29,437.696991
"702",2016-03-01,435.122986
"703",2016-03-02,423.989014
"704",2016-03-03,421.651001
"705",2016-03-04,410.938995
"706",2016-03-05,400.570007
"707",2016-03-06,407.707001
"708",2016-03-07,414.321014
"709",2016-03-08,413.971985
"710",2016-03-09,414.859985
"711",2016-03-10,417.131012
"712",2016-03-11,421.690002
"713",2016-03-12,411.623993
"714",2016-03-13,414.065002
"715",2016-03-14,416.437988
"716",2016-03-15,416.829987
"717",2016-03-16,417.010986
"718",2016-03-17,420.621002
"719",2016-03-18,409.548004
"720",2016-03-19,410.444
"721",2016-03-20,413.755005
"722",2016-03-21,413.307007
"723",2016-03-22,418.088989
"724",2016-03-23,418.040985
"725",2016-03-24,416.394012
"726",2016-03-25,417.177002
"727",2016-03-26,417.945007
"728",2016-03-27,426.765015
"729",2016-03-28,424.230988
"730",2016-03-29,416.515991
"731",2016-03-30,414.81601
"732",2016-03-31,416.729004
"733",2016-04-01,417.959991
"734",2016-04-02,420.872986
"735",2016-04-03,420.903992
"736",2016-04-04,421.444
"737",2016-04-05,424.029999
"738",2016-04-06,423.412994
"739",2016-04-07,422.744995
"740",2016-04-08,420.348999
"741",2016-04-09,419.411011
"742",2016-04-10,421.563995
"743",2016-04-11,422.483002
"744",2016-04-12,425.190002
"745",2016-04-13,423.734009
"746",2016-04-14,424.282013
"747",2016-04-15,429.713013
"748",2016-04-16,430.571991
"749",2016-04-17,427.398987
"750",2016-04-18,428.591003
"751",2016-04-19,435.509003
"752",2016-04-20,441.389008
"753",2016-04-21,449.424988
"754",2016-04-22,445.737
"755",2016-04-23,450.282013
"756",2016-04-24,458.554993
"757",2016-04-25,461.425995
"758",2016-04-26,466.088989
"759",2016-04-27,444.687012
"760",2016-04-28,449.010986
"761",2016-04-29,455.096985
"762",2016-04-30,448.317993
"763",2016-05-01,451.875
"764",2016-05-02,444.669006
"765",2016-05-03,450.303986
"766",2016-05-04,446.721985
"767",2016-05-05,447.976013
"768",2016-05-06,459.602997
"769",2016-05-07,458.536011
"770",2016-05-08,458.548004
"771",2016-05-09,460.483002
"772",2016-05-10,450.894989
"773",2016-05-11,452.727997
"774",2016-05-12,454.765991
"775",2016-05-13,455.670013
"776",2016-05-14,455.67099
"777",2016-05-15,457.567993
"778",2016-05-16,454.162994
"779",2016-05-17,453.78299
"780",2016-05-18,454.618988
"781",2016-05-19,438.714996
"782",2016-05-20,442.675995
"783",2016-05-21,443.187988
"784",2016-05-22,439.322998
"785",2016-05-23,444.154999
"786",2016-05-24,445.980988
"787",2016-05-25,449.598999
"788",2016-05-26,453.384003
"789",2016-05-27,473.463989
"790",2016-05-28,530.039978
"791",2016-05-29,526.232971
"792",2016-05-30,533.864014
"793",2016-05-31,531.385986
"794",2016-06-01,536.919983
"795",2016-06-02,537.971985
"796",2016-06-03,569.19397
"797",2016-06-04,572.72699
"798",2016-06-05,574.97699
"799",2016-06-06,585.536987
"800",2016-06-07,576.596985
"801",2016-06-08,581.64502
"802",2016-06-09,574.630005
"803",2016-06-10,577.469971
"804",2016-06-11,606.72699
"805",2016-06-12,672.783997
"806",2016-06-13,704.375977
"807",2016-06-14,685.559021
"808",2016-06-15,694.468994
"809",2016-06-16,766.307983
"810",2016-06-17,748.908997
"811",2016-06-18,756.22699
"812",2016-06-19,763.781006
"813",2016-06-20,737.226013
"814",2016-06-21,666.651978
"815",2016-06-22,596.116028
"816",2016-06-23,623.97699
"817",2016-06-24,665.299011
"818",2016-06-25,665.122986
"819",2016-06-26,629.367004
"820",2016-06-27,655.275024
"821",2016-06-28,647.000977
"822",2016-06-29,639.890015
"823",2016-06-30,673.336975
"824",2016-07-01,676.296021
"825",2016-07-02,703.702026
"826",2016-07-03,658.664001
"827",2016-07-04,683.661987
"828",2016-07-05,670.627014
"829",2016-07-06,677.330994
"830",2016-07-07,640.562012
"831",2016-07-08,666.52301
"832",2016-07-09,650.960022
"833",2016-07-10,649.359985
"834",2016-07-11,647.658997
"835",2016-07-12,664.551025
"836",2016-07-13,654.468018
"837",2016-07-14,658.078003
"838",2016-07-15,663.255005
"839",2016-07-16,660.767029
"840",2016-07-17,679.458984
"841",2016-07-18,673.106018
"842",2016-07-19,672.864014
"843",2016-07-20,665.684998
"844",2016-07-21,665.012024
"845",2016-07-22,650.619019
"846",2016-07-23,655.55603
"847",2016-07-24,661.284973
"848",2016-07-25,654.096985
"849",2016-07-26,651.783997
"850",2016-07-27,654.35199
"851",2016-07-28,655.034973
"852",2016-07-29,656.992004
"853",2016-07-30,655.046997
"854",2016-07-31,624.68103
"855",2016-08-01,606.271973
"856",2016-08-02,547.465027
"857",2016-08-03,566.35498
"858",2016-08-04,578.289001
"859",2016-08-05,575.04303
"860",2016-08-06,587.778015
"861",2016-08-07,592.690002
"862",2016-08-08,591.054016
"863",2016-08-09,587.801025
"864",2016-08-10,592.103027
"865",2016-08-11,589.119995
"866",2016-08-12,587.559021
"867",2016-08-13,585.588013
"868",2016-08-14,570.473022
"869",2016-08-15,567.23999
"870",2016-08-16,577.439026
"871",2016-08-17,573.216003
"872",2016-08-18,574.317993
"873",2016-08-19,575.630005
"874",2016-08-20,581.697021
"875",2016-08-21,581.307983
"876",2016-08-22,586.752991
"877",2016-08-23,583.414978
"878",2016-08-24,580.182007
"879",2016-08-25,577.760986
"880",2016-08-26,579.651001
"881",2016-08-27,569.947021
"882",2016-08-28,573.911987
"883",2016-08-29,574.106995
"884",2016-08-30,577.502991
"885",2016-08-31,575.471985
"886",2016-09-01,572.302979
"887",2016-09-02,575.536987
"888",2016-09-03,598.211975
"889",2016-09-04,608.633972
"890",2016-09-05,606.590027
"891",2016-09-06,610.435974
"892",2016-09-07,614.544006
"893",2016-09-08,626.315979
"894",2016-09-09,622.861023
"895",2016-09-10,623.508972
"896",2016-09-11,606.718994
"897",2016-09-12,608.242981
"898",2016-09-13,609.241028
"899",2016-09-14,610.684021
"900",2016-09-15,607.155029
"901",2016-09-16,606.973022
"902",2016-09-17,605.984009
"903",2016-09-18,609.874023
"904",2016-09-19,609.22699
"905",2016-09-20,608.312012
"906",2016-09-21,597.148987
"907",2016-09-22,596.297974
"908",2016-09-23,602.84198
"909",2016-09-24,602.625
"910",2016-09-25,600.825989
"911",2016-09-26,608.04303
"912",2016-09-27,606.166016
"913",2016-09-28,604.728027
"914",2016-09-29,605.692993
"915",2016-09-30,609.734985
"916",2016-10-01,613.982971
"917",2016-10-02,610.892029
"918",2016-10-03,612.132996
"919",2016-10-04,610.203979
"920",2016-10-05,612.510986
"921",2016-10-06,613.020996
"922",2016-10-07,617.120972
